Designator,Footprint,Quantity,Value,LCSC Part #
BT1,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Battery,C98733
"C1, C2, C3, C4, C65, C68, C79",0402,7,1uF,C29266
"C10, C11, C16, C32, C33, C35, C40, C44, C5, C53, C6, C7, C8, C9",0402,14,100nF,C307331
C100,0402,1,75pF,C107010
C101,0805,1,10uF,C2932476
C102,CP_Elec_5x5.9,1,27uF,C347564
"C103, C113, C114",0805,3,4.7uF,C98192
"C104, C111, C112",CP_Elec_5x5.9,3,56uF,C2162042
"C105, C106",0603,2,22uF,C2762594
"C107, C109, C110, C19, C21, C71, C78, C86",0402,8,100nF,C1525
"C108, C13, C18, C20, C22, C43, C51",0402,7,10nF,C15195
"C12, C38",0603,2,10uF,C96446
"C14, C15",0402,2,1uF,C52923
"C17, C42, C45",0402,3,10uF,C315248
"C23, C24, C30, C63, C64",0402,5,100nF, C1525
C34,0402,1,4.7nF,C84705
C36,0603,1,4.7uF,C69335
C37,0402,1,2.2uF,C307418
"C39, C46, C52",0402,3,2.7nF,C84704
"C41, C47, C54",0402,3,47pF,C60137
"C48, C49, C50, C55, C56, C57, C58, C59, C60",0805,9,22uF,C602037
"C61, C62",0402,2,12pF,C76948
"C66, C72, C74, C76",0603,4,100nF,C14663
"C67, C73, C75, C77",0603,4,1uf,C29936
"C69, C70",0402,2,22pF,C76960
"C80, C81",0402,2,390pF,C114397
"C82, C83",0603,2,2.2uF,C23630
"C84, C95, C96",1210,3,22uF,C309062
C85,0402,1,4.7uF,C6119795
C87,0402,1,820pF,C107031
"C88, C89, C92, C97",1210,4,10uF,C138687
C90,0805,1,22nF,C107147
"C91, C93, C94",1206,3,4.7uF,C51205
C98,0402,1,47nF,C272875
C99,0402,1,100pF,C106200
"D1, D2",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B-2020,C965555
D10,0402,1,D,
"D11, D12",D_SOD-123,2,D_Schottky,
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B-5050,C114586
"D4, D5, D6, D7, D8, D9",0805,6,LED,
F1,Fuse_Bourns_MF-RG900,1,Polyfuse,C3762600
FB1,0603,1,120R,C113030
IC1,IAUC120N06S5N011ATMA1,1,IAUCN04S7L028ATMA1,C29536843
"IC2, IC3",SON50P300X300X100-9N-D,2,STCS1APUR,C2971041
J1,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
J10,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Servo_TrayRelease,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J12,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
"J13, J5",Samtec_HSEC8-110-01-X-DV-A_2x10_P0.8mm_Socket_AlignmentPins,2,Conn_02x10_Odd_Even,C4572809
J14,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,Motor FR,
J16,JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal,1,19V Output,
J17,PinHeader_1x04_P2.54mm_Vertical,1,Programmer,
J18,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Power_Bypass,
J23,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,Motor BR,
J25,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,ConductClaw,
J26,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,Motor BL,
J27,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,TOF_Front,
J28,OLED_small,1,OLED_Display,
J29,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,Motor FL,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Lipo,
J4,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,TOF_Right,
J6,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,TOF_Claw,
