Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.790535,-141.435534,180.0,bottom
C1,141.040535,-106.285534,90.0,top
C10,78.960535,-131.335534,180.0,top
C100,125.195,-166.375,0.0,top
C101,117.6,-157.325,270.0,top
C102,120.325,-147.475,270.0,top
C103,141.075,-153.0,90.0,top
C104,139.6,-159.275,90.0,top
C105,120.125,-178.625,270.0,top
C106,118.045,-164.625,90.0,top
C107,118.8,-174.8,180.0,top
C108,121.35,-178.3,270.0,top
C109,123.3,-166.4,0.0,top
C11,83.025,-131.3,180.0,top
C110,117.625,-169.45,270.0,top
C111,133.8,-159.275,90.0,top
C112,137.075,-151.4,270.0,top
C113,147.05,-155.95,0.0,top
C114,147.0,-153.85,0.0,top
C12,78.385535,-132.585534,180.0,top
C13,84.760535,-131.760534,270.0,top
C14,86.210535,-131.335534,0.0,top
C15,87.260535,-133.565534,90.0,top
C16,81.610535,-131.810534,90.0,top
C17,138.925,-167.42,270.0,top
C18,141.225,-171.34,0.0,top
C19,110.725,-224.95,90.0,top
C2,141.040535,-112.285534,90.0,top
C20,95.05,-224.25,180.0,top
C21,89.9,-221.8,90.0,top
C22,112.275,-220.15,90.0,top
C23,104.63,-161.55,0.0,top
C24,99.575,-138.025,180.0,top
C3,141.040535,-110.285534,90.0,top
C30,98.875,-140.175,90.0,top
C32,131.815535,-111.210534,180.0,top
C33,135.615535,-111.210534,180.0,top
C34,139.3,-124.25,0.0,top
C35,138.95,-122.160534,90.0,top
C36,140.95,-125.375,270.0,top
C37,141.1,-123.1,0.0,top
C38,141.675,-121.875,0.0,top
C39,148.405,-166.94,180.0,top
C4,141.040535,-108.285534,90.0,top
C40,141.4,-164.25,0.0,top
C41,146.785,-171.34,180.0,top
C42,124.06,-181.2,90.0,top
C43,126.325,-187.35,0.0,top
C44,126.0,-179.67,90.0,top
C45,135.8,-185.9,270.0,top
C46,133.545,-183.05,180.0,top
C47,132.025,-187.35,180.0,top
C48,130.025,-175.05,180.0,top
C49,130.025,-177.35,180.0,top
C5,133.715535,-111.210534,180.0,top
C50,130.025,-179.65,180.0,top
C51,141.675,-187.7,0.0,top
C52,148.65,-183.575,180.0,top
C53,141.925,-180.225,90.0,top
C54,147.029999,-187.485534,180.0,top
C55,144.25,-174.585534,180.0,top
C56,144.25,-176.885534,180.0,top
C57,144.25,-179.185534,180.0,top
C58,144.205,-161.44,180.0,top
C59,144.205,-163.64,180.0,top
C6,90.33,-115.95,0.0,top
C60,144.205,-159.24,180.0,top
C61,105.45,-136.67,90.0,top
C62,100.4,-136.425,90.0,top
C63,101.5,-144.18,270.0,top
C64,104.635,-162.5,0.0,top
C65,76.8,-61.55,0.0,top
C66,89.6,-200.25375,90.0,bottom
C67,78.8,-201.8,0.0,bottom
C68,75.105,-63.49,0.0,top
C69,77.860535,-136.510534,180.0,top
C7,74.425,-112.375,90.0,top
C70,82.185535,-133.285534,0.0,top
C71,73.275,-62.775,0.0,top
C72,134.5,-198.5,90.0,bottom
C73,137.025,-207.1,180.0,bottom
C74,115.260535,-60.4,0.0,bottom
C75,118.4,-70.7,270.0,bottom
C76,92.1,-61.5,180.0,bottom
C77,90.360535,-52.064466,90.0,bottom
C78,75.115,-62.54,0.0,top
C79,69.925,-63.23,270.0,top
C8,71.435535,-127.585534,90.0,top
C80,69.975,-57.5,0.0,top
C81,69.575,-59.655,270.0,top
C82,75.65,-111.8,90.0,top
C83,90.875,-117.175,0.0,top
C84,93.485,-102.295,180.0,top
C85,93.01,-99.575,270.0,top
C86,95.135,-99.345,90.0,top
C87,92.53,-91.92,180.0,top
C88,79.3,-97.65,270.0,top
C89,76.0,-97.65,270.0,top
C9,89.835535,-127.535534,270.0,top
C90,89.635,-99.145,180.0,top
C91,75.575,-91.7,90.0,top
C92,86.31,-100.47,270.0,top
C93,77.875,-91.7,90.0,top
C94,80.175,-91.7,90.0,top
C95,93.485,-108.845,180.0,top
C96,93.485,-105.57,180.0,top
C97,82.6,-97.65,270.0,top
C98,130.78,-172.65,0.0,top
C99,130.775,-171.7,0.0,top
D1,169.385535,-160.820534,90.0,top
D10,146.2,-114.9,0.0,bottom
D11,97.1,-220.275,90.0,top
D12,109.3,-220.275,90.0,top
D2,172.385535,-160.850534,90.0,top
D3,170.885535,-167.785534,90.0,top
D4,146.701965,-171.824,0.0,bottom
D5,137.4625,-171.824,0.0,bottom
D6,128.225,-171.789,0.0,bottom
D7,80.598035,-171.824534,0.0,bottom
D8,69.660535,-171.835534,0.0,bottom
D9,59.660535,-171.824534,0.0,bottom
F1,133.25,-135.975,180.0,top
FB1,86.035535,-133.360534,270.0,top
IC1,127.285,-160.399,0.0,top
